fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20211204,1,1,25.8,4.8673872,0,0,0,0,0,0,0,0,0,0,50,37.5,37.5,37.5,0.666666666667,0.995101243417,0.999441023616,0,0.847619047619,3.38858099435,0,0,0,0,2.1935681215,-30,1.60165143547,1,0,0
20211205,2,1,24.9,4.2118704,0,0,0,0,0,1.07965902377,0,0,0,0,48.9203409762,37.5,37.5,37.5,0.652271213016,0.993299591501,0.999035121114,0,0.804761904762,3.21594162797,0,0,0,0,1.40746786033,-29,1.38806221287,1,0,0
20211206,3,1,25.5,5.1208848,0,0,0,0,0,1.22134006882,0,0,0,0,47.6990009074,37.5,37.5,37.5,0.635986678765,0.990944047565,0.998510335312,0,0.833333333333,3.32836778437,0,0,0,0,1.90630063986,-28,1.92311186593,1,0,0
20211207,4,1,27.1,6.4742976,0,0,0,0,0,1.32101351343,0,0,0,0,46.377987394,37.5,37.5,37.5,0.618373165253,0.987954563521,0.997852492862,0,0.909523809524,3.6302824026,0,0,0,0,2.09257885837,-27,2.4018427517,1,0,0
20211208,5,1,28.4,4.9789728,0,0,0,0,0,0.989935587453,0,0,0,0,45.3880518065,37.5,37.5,37.5,0.605174024087,0.985365598716,0.997289092519,0,0.971428571429,3.87518047379,0,0,0,0,3.08155651823,-26,2.01233024263,1,0,0
20211209,6,1,24.2,2.558304,0,0,0,0,0,0.318171211748,0,0,0,0,45.0698805948,37.5,37.5,37.5,0.600931741264,0.984462744414,0.9970938426,0,0.771428571429,3.07674671431,0,0,0,0,1.40750820034,-25,0.708506472387,1,0,0
20211210,7,1,20.3,1.5520896,9.4,0,0,0,8.93,0.102526616948,0,0,0,0,53.8973539778,37.5,37.5,37.5,0.718631386371,0.99990261766,1,0,0.585714285714,2.34285714286,0,0,0,0,0.387904727646,-24,0.246599937463,1,0,0
20211211,8,1,24.8,5.5730592,0,0,0,0,0,0.730596334685,0,0,0,0,53.1667576431,37.5,37.5,37.5,0.708890101909,0.999171986746,1,0,0.8,3.2,0,0,0,0,1.45316479752,-23,1.87858044569,1,0,0
20211212,9,1,23.7,3.8891664,11.43,0,0,0,10.8585,0.481102634473,0,0,0,0,63.5441550087,37.5,37.5,37.5,0.847255400116,1,1,0,0.747619047619,2.99047619048,0,0,0,0,1.49190309908,-22,1.31209809402,1,0,0
20211213,10,1,22,2.7853632,0,0,0,0,0,0.281994794154,0,0,0,0,63.2621602145,37.5,37.5,37.5,0.843495469527,1,1,0,0.666666666667,2.66666666667,0,0,0,0,1.08947629173,-21,0.810678034397,1,0,0
20211214,11,1,25.6,5.5971648,0,0,0,0,0,0.728420478733,0,0,0,0,62.5337397358,37.5,37.5,37.5,0.833783196477,1,1,0,0.838095238095,3.35238095238,0,0,0,0,2.14509812175,-20,2.19627037961,1,0,0
20211215,12,1,24.2,5.7293568,0,0,0,0,0,0.674102781059,0,0,0,0,61.8596369547,37.5,37.5,37.5,0.824795159396,1,1,0,0.771428571429,3.08571428571,0,0,0,0,1.84458429523,-19,2.12287321149,1,0,0
20211216,13,1,26.8,6.6080448,0,0,0,0,0,0.784336298032,0,0,0,0,61.0753006567,37.5,37.5,37.5,0.814337342089,1,1,0,0.895238095238,3.58095238095,0,0,0,0,2.38383516146,-18,2.57087703615,1,0,0
20211217,14,1,26.9,6.3436608,0,0,0,0,0,0.7676236175,0,0,0,0,60.3076770392,37.5,37.5,37.5,0.804102360522,1,1,0,0.9,3.6,0,0,0,0,2.52785237135,-17,2.61107688971,1,0,0
